Drop_Date,Monitoring_Date,Area,Place,Shell(mm)
2020/5/17,2020/6/17,sample1,lower,1.8
2020/5/17,2020/6/17,sample1,lower,1.5
2020/5/17,2020/6/17,sample1,lower,1.7
2020/5/17,2020/6/17,sample1,lower,1.2
2020/5/17,2020/6/17,sample1,lower,1
2020/5/17,2020/6/17,sample1,lower,0.8
2020/5/17,2020/6/17,sample1,lower,1
2020/5/17,2020/6/17,sample1,lower,1
2020/5/17,2020/6/17,sample1,lower,1.9
2020/5/17,2020/6/17,sample1,lower,2.1
2020/5/17,2020/6/17,sample1,lower,0.7
2020/5/17,2020/6/17,sample1,lower,1.7
2020/5/17,2020/6/17,sample1,lower,0.9
2020/5/17,2020/6/17,sample1,lower,1.1
2020/5/17,2020/6/17,sample1,lower,0.7
2020/5/17,2020/6/17,sample1,lower,1.3
2020/5/17,2020/6/17,sample1,lower,1
2020/5/17,2020/6/17,sample1,lower,1.1
2020/5/17,2020/6/17,sample1,lower,0.5
2020/5/17,2020/6/17,sample1,lower,0.9
2020/5/17,2020/6/17,sample1,lower,0.7
2020/5/17,2020/6/17,sample1,lower,0.8
2020/5/17,2020/6/17,sample1,lower,0.6
2020/5/17,2020/6/17,sample1,lower,1.5
2020/5/17,2020/6/17,sample1,lower,1.4
2020/5/17,2020/6/17,sample1,lower,1.8
2020/5/17,2020/6/17,sample1,lower,0.7
2020/5/17,2020/6/17,sample1,lower,0.8
2020/5/17,2020/6/17,sample1,lower,0.8
2020/5/17,2020/6/17,sample1,lower,1.3
2020/5/17,2020/6/17,sample1,lower,1
2020/5/17,2020/6/17,sample1,lower,1.7
2020/5/17,2020/6/17,sample1,lower,1.3
2020/5/17,2020/6/17,sample1,lower,1.2
2020/5/17,2020/6/17,sample1,lower,1
2020/5/17,2020/6/17,sample1,lower,1
2020/5/17,2020/6/17,sample1,lower,1.7
2020/5/17,2020/6/17,sample1,lower,0.7
2020/5/17,2020/6/17,sample1,lower,1
2020/5/17,2020/6/17,sample1,lower,1.5
2020/5/17,2020/6/17,sample1,lower,0.6
2020/5/17,2020/6/17,sample1,lower,1.3
2020/5/17,2020/6/17,sample1,lower,1
2020/5/17,2020/6/17,sample1,lower,1.3
2020/5/17,2020/6/17,sample1,lower,0.9
2020/5/17,2020/6/17,sample1,lower,0.7
2020/5/17,2020/6/17,sample1,lower,1
2020/5/17,2020/6/17,sample1,lower,1.2
2020/5/17,2020/6/17,sample1,lower,1.1
2020/5/17,2020/6/17,sample1,lower,0.6
2020/5/17,2020/6/17,sample1,lower,1
2020/5/17,2020/6/17,sample1,lower,0.6
2020/5/17,2020/6/17,sample1,lower,0.7
2020/5/17,2020/6/17,sample1,lower,0.8
2020/5/17,2020/6/17,sample1,lower,0.6
2020/5/17,2020/6/17,sample1,lower,1.9
2020/5/17,2020/6/17,sample1,lower,1.9
2020/5/17,2020/6/17,sample1,lower,0.7
2020/5/17,2020/6/17,sample1,lower,1.4
2020/5/17,2020/6/17,sample1,lower,0.9
2020/5/17,2020/6/17,sample1,lower,0.7
2020/5/17,2020/6/17,sample1,lower,1
2020/5/17,2020/6/17,sample1,lower,0.5
2020/5/17,2020/6/17,sample1,lower,1.1
2020/5/17,2020/6/17,sample1,lower,0.9
2020/5/17,2020/6/17,sample1,lower,1.1
2020/5/17,2020/6/17,sample1,lower,1.3
2020/5/17,2020/6/17,sample1,lower,1.2
2020/5/17,2020/6/17,sample1,lower,0.7
2020/5/17,2020/6/17,sample1,lower,0.9
2020/5/17,2020/6/17,sample1,lower,1.6
2020/5/17,2020/6/17,sample1,lower,1.3
2020/5/17,2020/6/17,sample1,lower,0.8
2020/5/17,2020/6/17,sample1,lower,1.1
2020/5/17,2020/6/17,sample1,lower,1.4
2020/5/17,2020/6/17,sample1,lower,1.4
2020/5/17,2020/6/17,sample1,lower,1.1
2020/5/17,2020/6/17,sample1,lower,1.2
2020/5/17,2020/6/17,sample1,lower,1.5
2020/5/17,2020/6/17,sample1,lower,0.7
2020/5/17,2020/6/17,sample1,lower,1.6
2020/5/17,2020/6/17,sample1,lower,1.4
2020/5/17,2020/6/17,sample1,lower,1.4
2020/5/17,2020/6/17,sample1,lower,1.6
2020/5/17,2020/6/17,sample1,lower,1.4
2020/5/17,2020/6/17,sample1,lower,1.4
2020/5/17,2020/6/17,sample1,lower,1.2
2020/5/17,2020/6/17,sample1,lower,0.9
2020/5/17,2020/6/17,sample1,lower,1.7
2020/5/17,2020/6/17,sample1,lower,1.5
2020/5/17,2020/6/17,sample1,lower,1.6
2020/5/17,2020/6/17,sample1,lower,1.1
2020/5/17,2020/6/17,sample1,lower,1.3
2020/5/17,2020/6/17,sample1,lower,1.6
2020/5/17,2020/6/17,sample1,lower,1.3
2020/5/17,2020/6/17,sample1,lower,0.9
2020/5/17,2020/6/17,sample1,lower,0.5
2020/5/17,2020/6/17,sample1,lower,1.2
2020/5/17,2020/6/17,sample1,lower,0.7
2020/5/17,2020/6/17,sample1,lower,1
2020/5/15,2020/7/1,sample1,lower,2.6
2020/5/15,2020/7/1,sample1,lower,2.5
2020/5/15,2020/7/1,sample1,lower,2.5
2020/5/15,2020/7/1,sample1,lower,3.4
2020/5/15,2020/7/1,sample1,lower,4.2
2020/5/15,2020/7/1,sample1,lower,2.2
2020/5/15,2020/7/1,sample1,lower,1.8
2020/5/15,2020/7/1,sample1,lower,1.4
2020/5/15,2020/7/1,sample1,lower,1.5
2020/5/15,2020/7/1,sample1,lower,3.8
2020/5/15,2020/7/1,sample1,lower,4.1
2020/5/15,2020/7/1,sample1,lower,1.8
