Date,Area,GSI,Sex
2024/3/16,sample1,22.7,M
2024/3/16,sample1,27.4,M
2024/3/16,sample1,24.1,M
2024/3/16,sample1,23.1,M
2024/3/16,sample1,24.2,M
2024/3/16,sample1,31.1,M
2024/3/16,sample1,27.2,M
2024/3/16,sample1,25.3,M
2024/3/16,sample1,18,M
2024/3/16,sample1,26.1,M
2024/3/16,sample1,25.2,M
2024/3/16,sample1,26.9,M
2024/3/16,sample1,19,M
2024/3/16,sample1,24.3,M
2024/3/16,sample1,25.9,M
2024/3/16,sample1,27.6,M
2024/3/16,sample1,20.5,M
2024/3/16,sample1,29.6,M
2024/3/16,sample1,28.5,M
2024/3/16,sample1,36.4,F
2024/3/16,sample1,25,F
2024/3/16,sample1,17.3,F
2024/3/16,sample1,20.7,F
2024/3/16,sample1,21.1,F
2024/3/16,sample1,16.3,F
2024/3/16,sample1,21.9,F
2024/3/16,sample1,22.6,F
2024/3/16,sample1,16.9,F
2024/3/16,sample1,16.1,F
2024/3/16,sample1,23.4,F
2024/3/23,sample1,24.4,M
2024/3/23,sample1,22,M
2024/3/23,sample1,29.2,M
2024/3/23,sample1,17.7,M
2024/3/23,sample1,24.7,M
2024/3/23,sample1,21.5,M
2024/3/23,sample1,25.2,M
2024/3/23,sample1,18.2,M
2024/3/23,sample1,18.4,M
2024/3/23,sample1,16.7,M
2024/3/23,sample1,20.5,M
2024/3/23,sample1,25.8,M
2024/3/23,sample1,23.6,M
2024/3/23,sample1,22.9,F
2024/3/23,sample1,21.4,F
2024/3/23,sample1,19,F
2024/3/23,sample1,27.7,F
2024/3/23,sample1,21.6,F
2024/3/23,sample1,16.8,F
2024/3/23,sample1,22.6,F
2024/3/23,sample1,21.9,F
2024/3/23,sample1,24.6,F
2024/3/23,sample1,23.4,F
2024/3/23,sample1,22.3,F
2024/3/23,sample1,15.6,F
2024/3/23,sample1,23.7,F
2024/3/23,sample1,17.2,F
2024/3/23,sample1,15.6,F
2024/3/23,sample1,13.1,F
2024/3/23,sample1,21.7,F
2024/3/29,sample1,30.4,M
2024/3/29,sample1,24.9,M
2024/3/29,sample1,27.9,M
2024/3/29,sample1,32.2,M
2024/3/29,sample1,22.7,M
2024/3/29,sample1,24.2,M
2024/3/29,sample1,26.3,M
2024/3/29,sample1,21.8,M
2024/3/29,sample1,19.5,M
2024/3/29,sample1,25.4,M
